ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
113672,Embassy Suites by Hilton Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2017-03-23,,,3.0,900 10th St NW,Washington,DC,20001,38.901937,-77.026251,Free,J1772
113673,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-07,,,1.0,901 6th St NW,Washington,DC,20001,38.901964,-77.019837,Free,TESLA
113674,Marriott Marquis Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2015-12-07,,,3.0,901 Massachusetts Ave NW,Washington,DC,20001,38.903543,-77.024973,Free,J1772
113675,The St. Regis Washington D.C. - Tesla Destination,public,Tesla Destination,2022-10-06,2015-10-06,,,1.0,923 16th St NW,Washington,DC,20006,38.9021295,-77.0361522,Free,TESLA
114359,Inn at Horn Point - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-30,,,3.0,534  Burnside Street,Annapolis,MD,21403,38.972453,-76.4780693,Free,TESLA
114360,Doubletree by Hilton Annapolis - Tesla Destination,public,Tesla Destination,2022-10-06,2016-01-25,,,1.0,210 Holiday Ct,Annapolis,MD,21401,38.982522,-76.547334,Free,TESLA
114361,Hyatt Regency Baltimore - Tesla Destination,public,Tesla Destination,2022-10-06,2014-12-12,,,5.0,300 Light St,Baltimore,MD,21202,39.28462,-76.613671,Free,J1772
114362,Sheraton Inner Harbor Hotel - Tesla Destination,public,Tesla Destination,2022-10-06,2016-10-28,,,4.0,300 South Charles St,Baltimore,MD,21201,39.284602,-76.61595,Free,J1772
114363,Cazbar - Tesla Destination,public,Tesla Destination,2022-10-06,2015-09-28,,,1.0,316 N Charles St,Baltimore,MD,21201,39.293019,-76.615604,Free,TESLA
114364,Doubletree Inn at The Colonnade - Tesla Destination,public,Tesla Destination,2022-10-06,2018-02-20,,,5.0,4 W University Pkwy,Baltimore,MD,21218,39.334176,-76.619561,Free,J1772
114365,DoubleTree by Hilton Hotel Bethesda - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-25,,,2.0,8120 Wisconsin,Bethesda,MD,20814,38.991229,-77.095893,Free,J1772
114366,Downtown Cambridge Black Water Baked Goods & Coffee - Tesla Destination,public,Tesla Destination,2022-10-06,2018-08-24,,,4.0,429 Race St,Cambridge,MD,21613,38.568961,-76.077521,Free,J1772
114367,Great Oak Manor - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-10,,,2.0,10568 Cliff Rd,Chestertown,MD,21620,39.2687177,-76.2025573,Free,TESLA
114368,Brampton Bed & Breakfast Inn - Tesla Destination,public,Tesla Destination,2022-10-06,2015-06-16,,,2.0,25227 Chestertown Rd,Chestertown,MD,21620,39.211757,-76.094796,Free,J1772
114369,Hampton Inn & Suites Columbia/South MD - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-29,,,6.0,7045 Minstrel Wy,Columbia,MD,21046,39.17575,-76.846303,Free,J1772
114370,SpringHill Suites by Marriott Columbia - Tesla Destination,public,Tesla Destination,2022-10-06,2017-11-29,,,6.0,7055 Minstrel Wy,Columbia,MD,21046,39.176119,-76.847247,Free,J1772
114371,Ruddy Duck Brewery & Grill - Tesla Destination,public,Tesla Destination,2022-10-06,2017-07-13,,,3.0,13200 Dowell Rd,Dowell,MD,20629,38.350362,-76.457198,Free,TESLA
114372,Rocky Gap Casino Resort - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-19,,,3.0,16701 Lakeview Rd NE,Flintstone,MD,21530,39.699997,-78.656806,Free,J1772
114373,"Savage River Lodge, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-05-26,,,2.0,1600 Mt Aetna Rd,Frostburg,MD,21532,39.65525,-79.021482,Free,J1772
114374,The Cornucopia Cafe - Tesla Destination,public,Tesla Destination,2022-10-06,2015-11-12,,,2.0,146 Casselman Rd,Grantsville,MD,21536,39.697031,-79.1416,Free,J1772
114375,The Narrows Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2017-09-11,,,3.0,3023 Kent Narrow Wy S,Grasonville,MD,21638,38.968861,-76.244728,Free,TESLA
114376,Hilton Garden Inn Kent Island - Tesla Destination,public,Tesla Destination,2022-10-06,2017-08-15,,,4.0,3206 Main St,Grasonville,MD,21638,38.966327,-76.240875,Free,J1772
114377,Holiday Inn Express Baltimore-BWI Airport West - Tesla Destination,public,Tesla Destination,2022-10-06,2017-06-19,,,3.0,7481 Ridge Rd,Hanover,MD,21076,39.160052,-76.711847,Free,J1772
114378,"Antietam Overlook Farm, a Select Registry Property - Tesla Destination",public,Tesla Destination,2022-10-06,2015-05-20,,,2.0,4812 Porterstown Rd,Keedysville,MD,21756,39.445664,-77.705295,Free,J1772
114379,Black Bear Tavern and Restaurant - Tesla Destination,public,Tesla Destination,2022-10-06,2016-03-07,,,2.0,102 Fort Dr,McHenry,MD,21541,39.549596,-79.35123,Free,TESLA
