Fuel Type Code,Station Name,Street Address,City,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,State
ELEC,Passport Nissan - Marlow Heights,5000 Auth Way,Suitland,20746,CHADEMO J1772 J1772COMBO,Free,38.827,-76.92355,public,MD
ELEC,Darcars Nissan,15911 Indianola Dr,Rockville,20855,CHADEMO J1772,Free,39.11377,-77.16099,public,MD
ELEC,Herb Gordon Nissan,3131 Automobile Blvd,Silver Spring,20904,CHADEMO J1772,Free,39.077447,-76.947933,public,MD
ELEC,Annapolis Friends Meeting,351 Dubois Ave,Annapolis,21401,J1772 NEMA520,Free,39.001676,-76.525253,public,MD
ELEC,Antwerpen Nissan,1701 Woodlawn Dr,Baltimore,21207,J1772,Free,39.312935,-76.734569,public,MD
ELEC,Antwerpen Nissan,1701 Woodlawn Dr,Baltimore,21207,J1772,Free,39.312935,-76.734569,private,MD
ELEC,Bob Bell Nissan,7900 Eastern Ave,Baltimore,21224,J1772,Free,39.296284,-76.509019,public,MD
ELEC,Bob Bell Nissan,7900 Eastern Ave,Baltimore,21224,J1772,Free,39.296284,-76.509019,private,MD
ELEC,Nissan of Bowie,2200 Crain Hwy,Bowie,20716,CHADEMO J1772,Free,38.919138,-76.718428,public,MD
ELEC,Nissan of Bowie,2200 Crain Hwy,Bowie,20716,J1772,Free,38.919138,-76.718428,private,MD
ELEC,Antwerpen Nissan,12451 Auto Dr,Clarksville,21029,CHADEMO J1772,Free,39.21308,-76.94426,public,MD
ELEC,Antwerpen Nissan,12451 Auto Dr,Clarksville,21029,J1772,Free,39.21308,-76.94426,private,MD
ELEC,Darcars Nissan - College Park,9330 Baltimore Ave,College Park,20740,J1772,Free,39.008053,-76.929772,public,MD
ELEC,Darcars Nissan - College Park,9330 Baltimore Ave,College Park,20740,J1772,Free,39.008053,-76.929772,private,MD
ELEC,Nissan Ellicott City,8569 Baltimore National Pike,Ellicott City,21043,CHADEMO J1772 J1772COMBO,Free,39.28255,-76.80843,public,MD
ELEC,Sheehy Nissan,7232 Ritchie Hwy,Glen Burnie,21061,CHADEMO J1772,Free,39.1731,-76.61949,public,MD
ELEC,Hamilton Nissan,1929 Dual Hwy,Hagerstown,21740,CHADEMO J1772 J1772COMBO,Free,39.605636,-77.687979,public,MD
ELEC,Hamilton Nissan,1929 Dual Hwy,Hagerstown,21740,J1772,Free,39.605636,-77.687979,private,MD
ELEC,Ourisman Nissan,3510 Ft Meade Rd,Laurel,20724,J1772,Free,39.10165651,-76.82296929,public,MD
ELEC,Ourisman Nissan,3510 Ft Meade Rd,Laurel,20724,J1772,Free,39.10165651,-76.82296929,private,MD
ELEC,Antwerpen Nissan,11405 Reisterstown Rd,Owings Mills,21117,J1772,Free,39.43853,-76.80284,public,MD
ELEC,Antwerpen Nissan,11405 Reisterstown Rd,Owings Mills,21117,J1772,Free,39.43853,-76.80284,private,MD
ELEC,Pohanka Nissan - Salisbury,2012 N Salisbury Blvd,Salisbury,21801,J1772,Free,38.39214,-75.57586,private,MD
ELEC,Nationwide Nissan,2085 York Rd,Timonium,21093,CHADEMO J1772 J1772COMBO,Free,39.4404,-76.62571,public,MD
ELEC,Nationwide Nissan,2085 York Rd,Timonium,21093,J1772,Free,39.4404,-76.62571,private,MD
ELEC,Sheehy Nissan - Waldorf,2950 Crain Hwy,Waldorf,20601,CHADEMO J1772,Free,38.630057,-76.9056,public,MD
ELEC,Bel Air Nissan,1506 Bel Air Rd,Bel Air,21014,J1772,Free,39.5059,-76.38238,private,MD
ELEC,Criswell Nissan,19574 Amaranth Dr,Germantown,20874,J1772,Free,39.177414,-77.249773,private,MD
ELEC,Herb Gordon Nissan,3131 Automobile Blvd,Silver Spring,20904,J1772,Free,39.077447,-76.947933,private,MD
ELEC,Passport Nissan - Marlow Heights,5000 Auth Way,Suitland,20746,J1772,Free,38.827,-76.92355,private,MD
ELEC,Old Farm Court,115 Old Farm Ct,Glen Burnie,21060,NEMA520,Free,39.160868,-76.599205,public,MD
ELEC,Baltimore Washington Medical Center,300 Hospital Dr,Glen Burnie,21061,NEMA520,Free,39.138576,-76.62159,public,MD
ELEC,Waldorf Ford,2440 Crain Hwy,Waldorf,20601,J1772,Free,38.64352,-76.891367,public,MD
ELEC,Academy Ford,13401 Baltimore Ave,Laurel,20707,J1772,Free,39.07394,-76.869633,private,MD
ELEC,Century Ford,302 Century Dr,Mt. Airy,21771,J1772,Free,39.368505,-77.143072,public,MD
ELEC,Safford Ford Lincoln of Salisbury,1902 N Salisbury Blvd,Salisbury,21801,J1772,Free,38.389455,-75.580663,public,MD
ELEC,Hagerstown Ford,1714 Massey Blvd,Hagerstown,21740,J1772,Free,39.628969,-77.76681,public,MD
ELEC,Pohanka Nissan - Salisbury,2012 N Salisbury Blvd,Salisbury,21801,CHADEMO J1772 J1772COMBO,Free,38.39214,-75.57586,public,MD
ELEC,Maryland Institute College of Art - Commons Hall,130 McMechen St,Baltimore,21217,J1772,Free,39.308846,-76.625419,public,MD
ELEC,Maryland Institute College of Art - Lazarus Center,131 W North Ave,Baltimore,21201,J1772,Free,39.31074,-76.618931,public,MD
ELEC,University of Baltimore - Maryland Avenue Garage,1104 Maryland Ave,Baltimore,21201,J1772,Free,39.302352,-76.617606,public,MD
ELEC,Mayflower Properties,1110 Morton St,Baltimore,21201,J1772,Free,39.30246,-76.616698,public,MD
ELEC,Parkview Business Center,201 Prospect Ave,Hagerstown,21742,J1772,Free,39.653116,-77.715766,public,MD
ELEC,Mount Airy Municipal Parking Lot,255-299 Cross St,Mt. Airy,21771,CHADEMO J1772 J1772COMBO TESLA,Variable fee,39.375442,-77.154666,public,MD
ELEC,First United Evangelical and Reformed Church,6115 O'Donnell St,Baltimore,21224,J1772,Free,39.281321,-76.542569,public,MD
ELEC,Marriott Garage,101 S Paca St,Baltimore,21201,J1772,Free,39.287168,-76.621895,public,MD
ELEC,Redwood Garage,11 S Eutaw St,Baltimore,21201,J1772,Free,39.288504,-76.620394,public,MD
