Fuel Type Code,Station Name,Street Address,Date Last Confirmed,Groups With Access Code,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,ID
ELEC,First Landing State Park - Tesla Destination,2500 Shore Dr,2022-10-06,Public,VA,Virginia Beach,2018-06-22,23451,J1772 TESLA,Free,36.9182,-76.053356,public,339
ELEC,Il Giardino Ristorante 2 - Tesla Destination,2500 Tournament Dr,2022-10-06,Public,VA,Virginia Beach,2018-06-14,23456,TESLA,Free,36.7592861,-76.0747554,public,340
ELEC,Hyatt House Virginia Beach Oceanfront - Tesla Destination,2705 Atlantic Ave,2022-10-06,Public,VA,Virginia Beach,2017-06-19,23451,J1772 TESLA,Free,36.855897,-75.97682,public,341
ELEC,Atrium Resort - Tesla Destination,315 21st St,2022-10-06,Public,VA,Virginia Beach,2016-02-16,23451,TESLA,Free,36.849186,-75.977964,public,342
ELEC,The Cavalier Virginia Beach - Tesla Destination,4200 Atlantic Ave,2022-10-06,Public,VA,Virginia Beach,2018-06-13,23451,J1772 TESLA,Free,36.86894,-75.9844534,public,343
ELEC,Mermaid Winery - Tesla Destination,4401 Shore Dr,2022-10-06,Public,VA,Virginia Beach,2018-02-26,23455,J1772 TESLA,Free,36.904677,-76.123094,public,344
ELEC,Pembroke Mall - Tesla Destination,4554 Virginia Beach Blvd,2022-10-06,Public,VA,Virginia Beach,2017-11-30,23462,J1772 TESLA,Free,36.84446,-76.134411,public,345
ELEC,Founders Inn and Spa - Tesla Destination,5641 Indian River Rd,2022-10-06,Public,VA,Virginia Beach,2015-08-18,23464,TESLA,Free,36.802211,-76.190142,public,346
ELEC,CROC'S 19th Street Bistro - Tesla Destination,620 19th St,2022-10-06,Public,VA,Virginia Beach,2015-10-13,23451,J1772 TESLA,Free,36.845576,-75.983128,public,347
ELEC,Il Giardino Ristorante Atlantic Ave - Tesla Destination,910 Atlantic Ave,2022-10-06,Public,VA,Virginia Beach,2018-02-08,23451,TESLA,Free,36.8384299,-75.9727317,public,348
ELEC,Poplar Springs Inn & Spa - Tesla Destination,5025 Casanova Rd,2022-10-06,Public,VA,Warrenton,2017-06-22,20187,TESLA,Free,38.651111,-77.713847,public,349
ELEC,Foster Harris House - Tesla Destination,189 Main St,2022-10-06,Public,VA,Washington,2015-12-07,22747,TESLA,Free,38.710569,-78.161097,public,350
ELEC,The Inn at Little Washington - Tesla Destination,309 Middle St,2022-10-06,Public,VA,Washington,2015-11-12,22747,J1772 TESLA,Free,38.713727,-78.159574,public,351
ELEC,Iris Inn Bed & Breakfast - Tesla Destination,191 Chinquapin Dr,2022-10-06,Public,VA,Waynesboro,2015-03-31,22980,J1772 TESLA,Free,38.0440242,-78.9045217,public,352
ELEC,New Quarter Park - Tesla Destination,1000 Lakeshead Dr,2022-10-06,Public,VA,Williamsburg,2018-03-28,23185,J1772 TESLA,Free,37.2938198,-76.6453494,public,353
ELEC,DoubleTree by Hilton Williamsburg - Tesla Destination,50 Kingsmill Rd,2022-10-06,Public,VA,Williamsburg,2017-01-23,23185,TESLA,Free,37.243124,-76.659679,public,354
ELEC,Riverwalk Landing Parking Deck - Tesla Destination,330 Water St,2022-10-06,Public,VA,Yorktown,2017-11-03,23690,TESLA,Free,37.238331,-76.509319,public,355
ELEC,City of Danville - Farmers' Market,629 Craghead St,2022-11-10,Public,VA,Danville,2018-06-01,24541,J1772,Free,36.584304,-79.385308,public,357
ELEC,Eastern Mennonite University - Hartzler Library,1160 Park Rd,2023-01-10,Public,VA,Harrisonburg,2019-01-01,22802,J1772,Free,38.469859,-78.87888,public,362
ELEC,Crystal City Shops,2345 Crystal Dr,2023-07-11,Public,VA,Arlington,2014-12-31,22202,J1772,Free; parking fee,38.85334,-77.0493,public,365
ELEC,Shenandoah University - Wilkins Athletics & Events Center Parking,1188 Ralph Shockey Dr,2024-02-12,Public,VA,Winchester,2018-07-10,22602,J1772 TESLA,Free,39.167803,-78.152172,public,368
ELEC,Classic Kitchen and Bath,1930 Deyerle Ave,2023-01-10,Public,VA,Harrisonburg,2018-09-15,22801,J1772,Free,38.428265,-78.850296,public,372
ELEC,Shenandoah University - Brandt Student Center,703 University Dr,2024-02-12,Public,VA,Winchester,2018-10-21,22601,J1772 TESLA,Free,39.167978,-78.157785,public,373
ELEC,Tru by Hilton,120 Crossing Way,2023-01-10,Public,VA,Staunton,2018-12-11,24401,J1772 TESLA,Free for guests,38.131118,-79.036863,public,374
ELEC,Richmond Spine Interventions,14404 Sommerville Ct,2024-01-09,Public,VA,Midlothian,2017-11-01,23113,J1772,Free,37.509413,-77.674511,public,376
ELEC,The Row at GreenGate - Tesla Destination,12201 W Broad St,2022-10-06,Public,VA,Glen Allen,2018-10-10,23233,J1772 TESLA,Free,37.658065,-77.636195,public,386
ELEC,Tysons Corner - Tesla Destination,1961 Chain Bridge Rd,2022-10-06,Public,VA,McClean,2018-04-12,22102,TESLA,Free,38.916486,-77.22108,public,387
ELEC,Two Liberty Center - Tesla Destination,4075 Wilson Blvd,2022-10-06,Public,VA,Arlington,2019-05-13,22203,J1772 TESLA,Free,38.880383,-77.108511,public,394
ELEC,Village at Leesburg,1503 Dodona Terrace SE,2023-01-10,Public - Call ahead,VA,Leesburg,2019-07-19,20175,J1772,Free,39.091422,-77.525656,public,395
ELEC,1701 Duke Street - Tesla Destination,1701 Duke St,2022-10-06,Public,VA,Alexandria,2019-04-04,22314,J1772 TESLA,Free,38.805082,-77.0596,public,396
ELEC,1320 N Courthouse Garage - Tesla Destination,1320 N Courthouse Rd,2022-10-06,Public,VA,Arlington,2019-04-12,22201,J1772 TESLA,Free,38.8887622,-77.0842467,public,397
ELEC,Clarendon Square - Tesla Destination,3033 Wilson Blvd,2022-10-06,Public,VA,Arlington,2019-04-05,22201,J1772 TESLA,Free,38.8882,-77.094484,public,398
ELEC,Tabb Library,100 Long Green Blvd,2023-01-10,Public,VA,Yorktown,2019-08-01,23693,J1772,Free,37.113565,-76.445837,public,399
