ID,Station_Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
912,CARR PROPERTIES P2 6256,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.903969,-77.034963,,J1772
913,CARR PROPERTIES P3 62E1,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.90393,-77.034964,,J1772
914,CARR PROPERTIES P2 5A9F,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1100 15th St NW,Washington,DC,20005,38.903977,-77.034947,,J1772
915,CARR PROPERTIES P3 5A5C,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1100 15th St NW,Washington,DC,20005,38.903941,-77.034977,,J1772
916,CARR PROPERTIES P3 553A,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1100 15th St NW,Washington,DC,20005,38.903926,-77.034959,,J1772
917,CARR PROPERTIES P2 5774,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,1100 15th St NW,Washington,DC,20005,38.903987,-77.034926,,J1772
918,CARR PROPERTIES P1 652A,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.90397,-77.034989,,J1772
919,CARR PROPERTIES P3 652B,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,1100 15th St NW,Washington,DC,20005,38.903974,-77.034952,,J1772
920,THE HOTEL AT AP STATION 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7787 Arundel Mills Blvd,Hanover,MD,21076,39.152983,-76.74372,,J1772
921,THE HOTEL AT AP STATION 1 GW,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7787 Arundel Mills Blvd,Hanover,MD,21076,39.15305,-76.743781,,J1772
922,THE HOTEL UMD STATION 3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,7761 Diamondback Drive,College Park,MD,20742,38.985584,-76.934662,,J1772
923,ATAPCO PROPERTY ATAPCO GARAGE 2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,601 N Calvert street,Baltimore,MD,21202,39.297462,-76.612601,,J1772
924,ATAPCO PROPERTY ATAPCO GARAGE 4,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,601 N Calvert Street,Baltimore,MD,21202,39.297367,-76.612593,,J1772
925,ATAPCO PROPERTY ATAPCO GARAGE 3,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,1,601 N Calvert Street,Baltimore,MD,21202,39.29739,-76.612594,,J1772
926,DC CORRIDOR CABIN JOHN L2,public,ChargePoint Network,2024-10-10,2021-01-27,0,0,2,11355 Seven Locks Rd,Potomac,MD,20854,39.042682,-77.157626,,J1772
