Fuel_Station_Id,Connector_Type_Code
1423,J1772
1424,J1772
1425,J1772
1426,J1772COMBO
1427,CHADEMO
1428,J1772COMBO
1429,J1772
1430,J1772
1431,J1772
1432,J1772
1433,J1772
1434,J1772
1435,J1772
1436,J1772
1437,J1772
1438,J1772
1439,J1772
1440,J1772
1441,J1772
1442,J1772
1443,J1772
1444,J1772
1445,J1772
1446,J1772
1447,J1772
1448,J1772
1449,J1772
1450,J1772
1451,J1772
1452,J1772
1453,J1772
1454,J1772
1455,J1772
1456,J1772
1457,J1772
1458,J1772
1459,J1772
1460,J1772
1461,J1772
1462,J1772
1463,J1772
1464,J1772
1465,CHADEMO
1465,J1772COMBO
1466,J1772
1467,CHADEMO
1468,J1772
1469,J1772
1470,J1772
1471,CHADEMO
1472,J1772
1473,J1772
1474,J1772
1475,J1772
1476,J1772
1477,J1772
1478,J1772
1479,CHADEMO
1480,J1772
1481,J1772
1482,J1772
1483,CHADEMO
1484,J1772
1485,J1772
1486,CHADEMO
1487,J1772
1488,J1772
1489,J1772
1490,J1772
1491,J1772
1492,J1772
1493,J1772
1494,J1772
1495,J1772
1496,J1772
1497,J1772
1498,CHADEMO
1498,J1772COMBO
1499,CHADEMO
1500,TESLA
1501,CHADEMO
1502,CHADEMO
1502,J1772COMBO
1503,J1772
1504,J1772COMBO
1505,J1772
1506,J1772
1507,J1772
1508,J1772
1509,CHADEMO
1510,CHADEMO
1511,J1772
1512,J1772
1513,J1772
1514,J1772
1515,J1772
1516,J1772
1517,J1772
1518,J1772
1519,CHADEMO
1520,J1772
1521,J1772
1522,J1772
1523,J1772
1524,J1772
1525,J1772
1526,J1772
1527,J1772
1528,J1772
1529,J1772
1530,J1772
1531,CHADEMO
1532,J1772
1533,J1772
1534,J1772
1535,J1772
1536,CHADEMO
1537,CHADEMO
1538,J1772
1539,J1772
1540,J1772
1541,TESLA
1542,J1772
1543,CHADEMO
1543,J1772COMBO
1544,TESLA
1545,J1772
1546,CHADEMO
1546,J1772COMBO
1547,TESLA
1548,J1772
1549,CHADEMO
1549,J1772COMBO
1550,J1772
1551,J1772
1552,TESLA
1553,TESLA
1554,TESLA
1555,J1772
1556,J1772
1557,TESLA
1558,J1772
1559,J1772
1560,J1772
1561,CHADEMO
1562,J1772
1563,J1772
1564,J1772
1565,CHADEMO
1566,J1772
1567,J1772
1568,TESLA
1569,J1772
1570,J1772
1571,TESLA
1572,J1772
1573,CHADEMO
1573,J1772COMBO
1574,CHADEMO
1575,TESLA
1576,CHADEMO
1577,J1772
1578,J1772
1579,CHADEMO
1579,J1772
1580,J1772
1581,J1772
1582,CHADEMO
1583,J1772
1584,J1772
1585,J1772
1586,J1772
1587,CHADEMO
1588,CHADEMO
1588,J1772COMBO
1589,CHADEMO
1590,J1772
1591,CHADEMO
1592,CHADEMO
1593,CHADEMO
1594,J1772
1595,TESLA
1596,CHADEMO
1597,J1772
1598,J1772
1599,J1772
1600,J1772
1601,J1772
1602,TESLA
1603,J1772
1604,CHADEMO
1604,J1772COMBO
1605,J1772
1606,J1772
1607,J1772
1608,J1772
1609,J1772
1610,CHADEMO
1611,CHADEMO
1612,CHADEMO
1613,TESLA
1614,J1772
1615,CHADEMO
1616,CHADEMO
1617,J1772
1618,J1772
1619,J1772
1620,J1772
1621,CHADEMO
1622,J1772
1623,J1772
1624,CHADEMO
1625,CHADEMO
1626,J1772
1627,J1772
1628,J1772
